price,num_bedrooms,num_bathrooms,size_sqft,rate_per_sqft,lat,long,amenities__num_parking,amenities__pet_friendly,amenities__furnished,amenities__air_conditioning,amenities__smoking_permitted,amenities__barrier_free_entrances_ramps,amenities__visual_aids,amenities__accessible_washrooms_in_suite,amenities__heat,amenities__hydro,amenities__water,amenities__cable_tv,amenities__internet,amenities__laundry_unit,amenities__laundry_building,amenities__dishwasher,amenities__fridge_freezer,amenities__yard,amenities__balcony,amenities__building_security,amenities__building_elevator,amenities__building_gym,amenities__bycycle_parking,amenities__storage_space,agreement_type_encoded,days_until_move_in
1595.0,1.0,1.0,500.0,3.19,44.65140385,-63.59537717216418,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,0,36
2245.0,1.0,1.5,740.0,3.03,44.6439983,-63.5774089,0.0,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,True,0,67
3025.0,2.0,2.0,1350.0,2.24,44.6271443,-63.5754038,0.0,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,0,36
2125.0,1.0,1.0,600.0,3.54,44.6442197,-63.5774768,0.0,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,0,67
2999.0,2.0,2.0,1000.0,3.0,44.6348608,-63.5759492,0.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,35
2599.0,2.0,1.0,800.0,3.25,44.6453467,-63.6052533,0.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,35
2509.0,2.0,1.0,750.0,3.35,44.6359593,-63.57713100588235,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,0,36
1799.0,1.0,1.0,600.0,3.0,44.6343981,-63.57502158405797,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,36
1799.0,1.0,1.0,550.0,3.27,44.6359422,-63.5863175508093,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,36
1799.0,1.0,1.0,550.0,3.27,44.6359593,-63.57713100588235,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0,36
2149.0,1.0,1.0,500.0,4.3,44.63403255,-63.57655305749744,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,36
2099.0,2.0,1.0,800.0,2.62,44.66110865,-63.620462997047255,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,128
1549.0,1.0,1.0,450.0,3.44,44.6359596,-63.5865006,0.0,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,128
1529.0,1.0,1.0,300.0,5.1,44.6697229,-63.60554589255115,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,128
1829.0,1.0,1.0,600.0,3.05,44.665107500000005,-63.61406596834411,0.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,0,35
2149.0,1.0,1.0,500.0,4.3,44.6359596,-63.5865006,0.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,0,128
2599.0,2.0,1.5,800.0,3.25,44.6359593,-63.57713100588235,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0,128
1699.0,1.0,1.0,400.0,4.25,44.60739645,-63.61430699188265,0.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,0,36
2050.0,2.0,1.0,500.0,4.1,44.6010894,-63.607738,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,0,36
1795.0,1.0,1.0,650.0,2.76,44.6733333,-63.6128827,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,0,36
1995.0,1.0,1.0,500.0,3.99,44.6518325,-63.5845854,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6
1995.0,1.0,1.0,600.0,3.32,44.6323253,-63.6188013,1.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,0,67
1800.0,1.0,1.0,600.0,3.0,44.643059050000005,-63.59089681007613,1.0,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,6
1970.0,1.0,1.0,660.0,2.98,44.63530235,-63.57682805267436,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0,6
2540.0,2.0,1.0,807.0,3.15,44.6553915,-63.584646,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,0,6
1750.0,1.0,1.0,507.0,3.45,44.6484791,-63.59153453877745,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,0,6
2735.0,2.0,1.0,950.0,2.88,44.63530235,-63.57682805267436,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0,6
1995.0,2.0,2.0,1400.0,1.42,44.673302,-63.60897528153057,0.0,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,0,6
1895.0,1.0,1.0,659.0,2.88,44.6500748,-63.5780816,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,0,6
2700.0,3.0,1.0,800.0,3.38,44.6506722,-63.6019927,1.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,0,6
2200.0,2.0,2.0,1000.0,2.2,44.7385029,-63.7835323,2.0,True,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,0,37
1800.0,1.0,1.0,900.0,2.0,44.7385029,-63.7835323,1.0,True,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,0,37
1950.0,3.0,1.0,500.0,3.9,44.6923703,-63.5325729,2.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,0,7
2150.0,2.0,1.0,500.0,4.3,44.6526209,-63.5908174,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,7
1865.0,2.0,1.0,900.0,2.07,44.648618,-63.5859487,1.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0,35
